title,url,company,location,salary,posted,snippets
QA Specialist,https://www.indeed.com/rc/clk?jk=683ee292953fa9c4&fccid=83668ea702edb3ed&vjs=3,DCN Diagnostics,"White City, OR 97503",$28 - $29 an hour,"Employer
Active 4 days ago",Attendance/Punctuality -– Is consistently at work and on time; Ensures work responsibilities are covered when absent; Arrives at meetings and appointments on…
Detailer,https://www.indeed.com/rc/clk?jk=c79aab71d7e6aadb&fccid=f5c923f9e45e4736&vjs=3,Butler Ford,"Ashland, OR 97520","",17 days ago,"The ideal candidate has a high school diploma or GED, some detailing experience, a general mechanical aptitude, an unrestricted driver's license and a clean…"
Assistant Store Manager,https://www.indeed.com/rc/clk?jk=6f3bae0444e3e505&fccid=56f3f08c4fc3ba79&vjs=3,HomeGoods,"Medford, OR 97501","",7 days ago,Two (2) years of retail leadership experience as an Assistant or Store Manager. / TAAP – TJX Associate Assistance Programs. / Improve store layout and efficiency.
Freight Handler,https://www.indeed.com/rc/clk?jk=023a912f744556d0&fccid=92cb50cecc8762fe&vjs=3,Oak Harbor Freight Lines,"Medford, OR",$20.48 - $26.16 an hour,21 days ago,Oak Harbor Freight Lines Dock to Driver program is a full-time paid training designed to take applicants from dock workers to fully endorsed CDL Class A Pick up…
Area Coach for DeClerck BK,https://www.indeed.com/rc/clk?jk=43bda5bc201d65e8&fccid=ce49fb2f9817d26b&vjs=3,Burger King,"Grants Pass, OR 97527","",8 days ago,The Area Coach (AC) provides overall leadership and direct supervision of approximately 8 Burger King restaurants to ensure that each Restaurant General Manager…
Community Partnership Coordinator,https://www.indeed.com/company/The-Chamber-of-Medford-&-Jackson-County/jobs/Partnership-Manager-fc23976fb7c85fce?fccid=387882fdbf73de15&vjs=3,The Chamber of Medford & Jackson County,"Medford, OR 97501","$47,000 - $52,000 a year",2 days ago,"Valid Driver’s license and reliable transportation. / This is a full-time, in-house position with Travel Medford, a department within The Chamber of Medford &…"
"Transitional Housing Support Specialist, CCR - Bilingual",https://www.indeed.com/company/ACCESS/jobs/Housing-Specialist-61482d492694e063?fccid=20c381c3e519a936&vjs=3,ACCESS,"Medford, OR 97504",$17.75 - $21.00 an hour,"Employer
Active 3 days ago",A valid Oregon driver’s license with a record that is acceptable under ACCESS’ insurance policies. / The Transitional Housing Support Specialist’s focus is to…
Property Manager with HUD Experience S,https://www.indeed.com/company/Pinehurst-Management/jobs/Property-Manager-1a4bd4bf9779f027?fccid=de5c686211310627&vjs=3,Pinehurst Property Management,"Medford, OR 97501",$18 - $20 an hour,"Employer
Active 2 days ago",Insurance will begin on the first of the month following 90 days of employment for full time employees.*. / Property management: 2 years (Required).
OHRA Center Housekeeper,https://www.indeed.com/company/Options-for-Helping-Residents-of-Ashjland/jobs/Housekeeper-be3e575353a3d85d?fccid=ee8129731ebeff8a&vjs=3,"Opportunities for Housing, Resources and...","Ashland, OR 97520",$17 an hour,"Employer
Active 2 days ago","Only full-time employees eligible. / Ability to work within time constraints and with limited supervision. / Job Type:* Part-time, 25hrs/week."
Landscape Foreman,https://www.indeed.com/company/U.S.-Lawns-Port-Charllote/jobs/Landscape-Foreman-cffd0f25bec706bd?fccid=beb99c6c4ac78758&vjs=3,U.S. Lawns Medford,"Medford, OR 97501",$24.00 - $24.50 an hour,30+ days ago,"We are a commercial landscape company, looking for individuals with previous landscape experience, training or certifications."
Team Member (Cashier),https://www.indeed.com/rc/clk?jk=241bf1d675cc004a&fccid=dd616958bd9ddc12&vjs=3,"Papa John's - JTF Enterprises, Inc","Medford, OR 97504","","Posted
Just posted","Part time & full time positions currently open. / Accurately use the FOCUS System, process cash, and/or credit card transactions."
title,url,company,location,salary,posted,snippets
Business Account Executive,https://www.indeed.com/rc/clk?jk=1600712871ef7942&fccid=8bf695e5197955a7&vjs=3,HUNTER COMMUNICATIONS,"Central Point, OR 97502","$35,000 - $120,000 a year",30+ days ago,"We offer very generous vacation, sick, and holiday time off, a 401k program with a generous employer match, and bonus opportunities."
Sales Porter (Lot Attendant),https://www.indeed.com/rc/clk?jk=07ca11f270005749&fccid=64e9bac1a453f8d2&vjs=3,Hyundai Medford,"Medford, OR 97504","",17 days ago,"Valid driver's license with a clean driving record. / Ensure the lot is clean, organized, and vehicles are properly parked. / High school diploma or equivalent."
Lab Technician I,https://www.indeed.com/company/Linde/jobs/Laboratory-Technician-76dc418358cf204c?fccid=ebf2dcf78a24a313&vjs=3,Linde plc,"White City, OR","","Employer
Active 3 days ago",The primary focus of the Lab Technician role is to analyze products from packages and/or processes and certify individual critical contaminant levels as…
Community Relations Director,https://www.indeed.com/company/The-Springs-Living/jobs/Community-Relations-Director-b7bdcb7ab0899d0c?fccid=99953a82f209f6f2&vjs=3,The Springs Living,"Medford, OR 97504","","Employer
Active 2 days ago",Ability to have difficult conversations during a stressful time for relatives and loved ones. / You will also spend time nurturing relationships with the local…
QA Specialist,https://www.indeed.com/rc/clk?jk=683ee292953fa9c4&fccid=83668ea702edb3ed&vjs=3,DCN Diagnostics,"White City, OR 97503",$28 - $29 an hour,"Employer
Active 4 days ago",Attendance/Punctuality -– Is consistently at work and on time; Ensures work responsibilities are covered when absent; Arrives at meetings and appointments on…
Detailer,https://www.indeed.com/rc/clk?jk=c79aab71d7e6aadb&fccid=f5c923f9e45e4736&vjs=3,Butler Ford,"Ashland, OR 97520","",17 days ago,"The ideal candidate has a high school diploma or GED, some detailing experience, a general mechanical aptitude, an unrestricted driver's license and a clean…"
Assistant Store Manager,https://www.indeed.com/rc/clk?jk=6f3bae0444e3e505&fccid=56f3f08c4fc3ba79&vjs=3,HomeGoods,"Medford, OR 97501","",7 days ago,Two (2) years of retail leadership experience as an Assistant or Store Manager. / TAAP – TJX Associate Assistance Programs. / Improve store layout and efficiency.
Freight Handler,https://www.indeed.com/rc/clk?jk=023a912f744556d0&fccid=92cb50cecc8762fe&vjs=3,Oak Harbor Freight Lines,"Medford, OR",$20.48 - $26.16 an hour,21 days ago,Oak Harbor Freight Lines Dock to Driver program is a full-time paid training designed to take applicants from dock workers to fully endorsed CDL Class A Pick up…
Area Coach for DeClerck BK,https://www.indeed.com/rc/clk?jk=43bda5bc201d65e8&fccid=ce49fb2f9817d26b&vjs=3,Burger King,"Grants Pass, OR 97527","",8 days ago,The Area Coach (AC) provides overall leadership and direct supervision of approximately 8 Burger King restaurants to ensure that each Restaurant General Manager…
Community Partnership Coordinator,https://www.indeed.com/company/The-Chamber-of-Medford-&-Jackson-County/jobs/Partnership-Manager-fc23976fb7c85fce?fccid=387882fdbf73de15&vjs=3,The Chamber of Medford & Jackson County,"Medford, OR 97501","$47,000 - $52,000 a year",2 days ago,"Valid Driver’s license and reliable transportation. / This is a full-time, in-house position with Travel Medford, a department within The Chamber of Medford &…"
"Transitional Housing Support Specialist, CCR - Bilingual",https://www.indeed.com/company/ACCESS/jobs/Housing-Specialist-61482d492694e063?fccid=20c381c3e519a936&vjs=3,ACCESS,"Medford, OR 97504",$17.75 - $21.00 an hour,"Employer
Active 3 days ago",A valid Oregon driver’s license with a record that is acceptable under ACCESS’ insurance policies. / The Transitional Housing Support Specialist’s focus is to…
Property Manager with HUD Experience S,https://www.indeed.com/company/Pinehurst-Management/jobs/Property-Manager-1a4bd4bf9779f027?fccid=de5c686211310627&vjs=3,Pinehurst Property Management,"Medford, OR 97501",$18 - $20 an hour,"Employer
Active 2 days ago",Insurance will begin on the first of the month following 90 days of employment for full time employees.*. / Property management: 2 years (Required).
OHRA Center Housekeeper,https://www.indeed.com/company/Options-for-Helping-Residents-of-Ashjland/jobs/Housekeeper-be3e575353a3d85d?fccid=ee8129731ebeff8a&vjs=3,"Opportunities for Housing, Resources and...","Ashland, OR 97520",$17 an hour,"Employer
Active 2 days ago","Only full-time employees eligible. / Ability to work within time constraints and with limited supervision. / Job Type:* Part-time, 25hrs/week."
Landscape Foreman,https://www.indeed.com/company/U.S.-Lawns-Port-Charllote/jobs/Landscape-Foreman-cffd0f25bec706bd?fccid=beb99c6c4ac78758&vjs=3,U.S. Lawns Medford,"Medford, OR 97501",$24.00 - $24.50 an hour,30+ days ago,"We are a commercial landscape company, looking for individuals with previous landscape experience, training or certifications."
Team Member (Cashier),https://www.indeed.com/rc/clk?jk=241bf1d675cc004a&fccid=dd616958bd9ddc12&vjs=3,"Papa John's - JTF Enterprises, Inc","Medford, OR 97504","","Posted
Just posted","Part time & full time positions currently open. / Accurately use the FOCUS System, process cash, and/or credit card transactions."
title,url,company,location,salary,posted,snippets
Reference Test Clerk,https://www.indeed.com/rc/clk?jk=24bfee9c5989dc78&fccid=a3163e1f583839d0&vjs=3,Labcorp,"N Charleston, SC 29406","","Posted
Today","Prepare laboratory specimens for various analysis and testing. / Research, troubleshoot and resolve customer and specimen problems."
"Full-time Lymphedema Therapist, OT",https://www.indeed.com/rc/clk?jk=acf9446cfee985f2&fccid=18721e88ef6fc058&vjs=3,East Cooper Medical Center,"Mount Pleasant, SC","",2 days ago,"Evaluates, plans and implements specific treatment programs for individual patients according to the principles and practices of occupational therapy."
Associate Criminalist,https://www.indeed.com/rc/clk?jk=b72a712d8af19c8a&fccid=13e8d3bc471a8700&vjs=3,"The City of Charleston, SC","Charleston, SC 29403 
(Westside area)","$55,058 - $58,906 a year",30+ days ago,Maintains the integrity of evidence from the time it is submitted until it is disposed of properly. / The City of Charleston offers an extensive benefits package…
Finance Clerk,https://www.indeed.com/rc/clk?jk=076f0d5bd9a3d985&fccid=cf08c5dbd828af0d&vjs=3,Pegasus Steel,"Ladson, SC 29456",$25 an hour,30+ days ago,Update and distribute Labor Report. / Update tracking sheet for Invoices Received but not invoiced. / Fill in for Receptionist during lunch break.
Supply Officer,https://www.indeed.com/rc/clk?jk=612c7753cc4d6e03&fccid=13e8d3bc471a8700&vjs=3,"The City of Charleston, SC","Charleston, SC 29403 
(Westside area)","$60,570 - $64,792 a year",30+ days ago,"The City of Charleston offers an extensive benefits package for full-time employees, including: health, dental and vision insurance; employer-paid short and…"
Dispatcher,https://www.indeed.com/rc/clk?jk=38abe63ac4380eb9&fccid=818171173e16fd12&vjs=3,"Benore Logistic Systems, Inc.","Ridgeville, SC 29472","$48,000 - $58,000 a year","Employer
Active 3 days ago","Responsible for achieving the assigned Key Performance Indicators (KPI’s) goals, including but not limited to, loaded miles percentage, on-time service, asset…"
Apartment Community Manager - 10 WestEdge,https://www.indeed.com/company/Greystar/jobs/Apartment-Manager-a0d17e4ee3711df4?fccid=2acd6fee0f6b700e&vjs=3,Greystar Real Estate Partners LLC,"Charleston, SC 29403 
(Westside area)","$85,000 - $90,000 a year","Employer
Active 3 days ago","Three weeks’ vacation accrual time, four additional personal days, 10 sick days, and 10 paid holidays. / Greystar* has an immediate opening for an experienced …"
Community Liaison and Homelessness Coordinator,https://www.indeed.com/rc/clk?jk=884984106e57d407&fccid=13e8d3bc471a8700&vjs=3,"The City of Charleston, SC","Charleston, SC 29401","$55,058 - $58,906 a year",30+ days ago,"The City of Charleston offers an extensive benefits package for full-time employees, including: health, dental and vision insurance; employer-paid short and…"
Retail Sales Consultant West Ashley,https://www.indeed.com/rc/clk?jk=999adc2667e12488&fccid=25b5166547bbf543&vjs=3,AT&T,"Charleston, SC","$62,460 a year",1 day ago,Meeting sales targets and earning your commission happens with the power of AT&T’s full suite of products at your fingertips – the latest devices and…
Sales Manager - Hampton Inn & Suites Charleston Airport,https://www.indeed.com/rc/clk?jk=850dd98903de7aef&fccid=6f47211b0637a52d&vjs=3,Hilton,"Charleston, SC 29418","",14 days ago,A Sales Manager is responsible for representing the hotel's services and facilities to prospective clients and customers in the hotel's continuing effort to…
Community Organizer (Lowcountry),https://www.indeed.com/rc/clk?jk=7539cf072771201b&fccid=dda6e6eeb880f521&vjs=3,Planned Parenthood South Atlantic,"Hybrid remote in Charleston, SC",$27.55 an hour,30+ days ago,All full-time (30+ hours) employees are benefits-eligible! / Highly skilled with time management and initiative. / Requires regular night & weekend work.
APS-3: Supply Technician,https://www.indeed.com/rc/clk?jk=1d3a34b817417f6a&fccid=cbfa56f19cc95796&vjs=3,KBR,"Charleston, SC 29401","",30+ days ago,KBR Government Solutions delivers full life cycle professional and technical solutions that improve operational readiness and drive innovation.
NATIONWIDE SEARCH: CHARLESTON FAMILY SEEKING LIVE-OUT NANNY/HOUSEHOLD MANAGER,https://www.indeed.com/rc/clk?jk=eb9d1a410fcb62fc&fccid=cf68eea59daffaa4&vjs=3,"The Nanny League, Inc.","Charleston, SC 29403",$50 an hour,30+ days ago,"CHARLESTON, SC (NATIONWIDE SEARCH) - Sullivan’s Island family is seeking a FULL-TIME LIVE-OUT NANNY/HOUSEHOLD MANAGER for their 3 boys; 9, 11, and 14 years old."
UNIV-Administrative Coordinator II-Transportation,https://www.indeed.com/rc/clk?jk=abc0dd398b7ebc77&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","$45,530 - $64,885 a year",9 days ago,"20% - Serve as the primary OurDay department timekeeper, responsible for maintaining and tracking leave data, tracking time detail reports, and preparing all…"
Employee Relations Specialist,https://www.indeed.com/rc/clk?jk=1c54d1f76db09ff4&fccid=62f220500926cd43&vjs=3,Synter Resource Group Llc,"Charleston, SC 29406","$50,000 - $60,000 a year",9 days ago,Must be able to lift 15 pounds at times. / Must be able to sit for long periods of time at a desk working on a computer.
title,url,company,location,salary,posted,snippets
HR Generalist-1,https://www.indeed.com/rc/clk?jk=d1b7230c15842007&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,Excited to grow your career? / MUSC offers many career opportunities and options for professional growth. / If you see a position that fits your experience and…
"Director of Deposit Operations - Charleston, SC",https://www.indeed.com/rc/clk?jk=a44dbcc8b5f625e8&fccid=1cae4ecf9aba0acb&vjs=3,South State Bank,"North Charleston, SC 29406","",3 days ago,For telecommuters or hybrid if applicable: Telecommuting roles no matter if hybrid or 100% full time telecommuting must have a secure home office environment…
Payroll Analyst-2,https://www.indeed.com/rc/clk?jk=3ad29834ef92a716&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,"Supports payroll and time tracking audits from an application data perspective and perform risk assessment including identification, mitigation, and…"
"Case Manager (Home Study and Post Release Services) - Charleston, SC",https://www.indeed.com/rc/clk?jk=7c7f3f9227e7e321&fccid=dcff5dab0a5948d4&vjs=3,ENDEAVORS,"Charleston, SC 29401","",30+ days ago,Federal Contract Requirements: Provide proof of COVID-19 Vaccination. / Must be a U.S. Citizen or a Lawful Permanent Resident.
Warehouse Manager,https://www.indeed.com/rc/clk?jk=7756ce1ae0b510a3&fccid=6a9c0634e3471080&vjs=3,Geneva10 Fulfillment,"Summerville, SC 29486","$66,433 - $123,771 a year",9 days ago,"Reporting to the Director of Operations, the Warehouse Manager will ensure that all warehouse activities are conducted efficiently and profitably, following…"
Sterile Processing Educator,https://www.indeed.com/rc/clk?jk=301b9ef235913007&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,"The Sterile Processing Educator reports to the Sterile Processing Manager. / Under limited supervision, the Sterile Processing Educator develops and conducts…"
Model Risk Quantitative Analyst - Remote,https://www.indeed.com/rc/clk?jk=36112aca5ec0343e&fccid=dd616958bd9ddc12&vjs=3,"SouthState Bank, National Association","Remote in North Charleston, SC","",2 days ago,"Must be able to stand and/or sit for long periods of time. / Experience using a variety of advanced modeling techniques- logistic regression, general linear and…"
APS-3: Production Control Clerk,https://www.indeed.com/rc/clk?jk=85decc66fdb6de60&fccid=cbfa56f19cc95796&vjs=3,KBR,"Charleston, SC 29401","",7 days ago,Compute wages from employee time cards and post wage data on records used for preparation of payroll. / APS-3: Production Control Clerk. / Must be a U.S. Citizen.
Sales Executive Fiber,https://www.indeed.com/rc/clk?jk=47ff7e14a1f8bb18&fccid=25b5166547bbf543&vjs=3,AT&T,"Charleston, SC","$66,900 - $100,300 a year",2 days ago,This job key applies to employees who spend more than 50% of their time performing duties directly related to making sales away from their offices at a…
Project Coordinator 2,https://www.indeed.com/rc/clk?jk=9c3d6421a216144b&fccid=5acf3c1d84f9b6de&vjs=3,Govcio LLC,"Hybrid remote in Charleston, SC 29407","$53,800 - $65,000 a year","Posted
Just posted","If hired, employee will be in an “at-will position” and the GovCIO reserves the right to modify base salary (as well as any other discretionary payment or…"
Procurement Coordinator,https://www.indeed.com/rc/clk?jk=77533b95b96a5a07&fccid=abf5abce7eb2fbd3&vjs=3,PulteGroup,"North Charleston, SC","",30+ days ago,"Set up all new communities, plans and vendors in the purchasing system. / Input all plan budget information into the purchasing system and generate and distribute…"
Data Integration Specialist,https://www.indeed.com/rc/clk?jk=d403c807ece76bce&fccid=06443599df073325&vjs=3,United Producers Group,"Mount Pleasant, SC 29464","",2 days ago,"Begin the application process with our Evaluation test. / Duties, included but not limited to: / Receive, review, interpret, and organize data to then configure our…"
Sandblaster Technician,https://www.indeed.com/rc/clk?jk=4f5282102c5e12c2&fccid=cf08c5dbd828af0d&vjs=3,Pegasus Steel,"Charleston, SC",$18.50 - $50.00 an hour,1 day ago,"Log in and out of ERP system tracking time, production, and scrap of daily performance. / SUMMARY Prepares surfaces for painting by removing old paint."
Workspace Experience Coordinator,https://www.indeed.com/rc/clk?jk=b588ddb3d5c2e23f&fccid=9917de3c28f569f6&vjs=3,JLL,"Charleston, SC 29401","$70,000 - $72,000 a year",4 days ago,"For candidates in the United States, please see a full copy of our Equal Employment Opportunity and Affirmative Action policy here. / Ability to lift to 25 lbs."
Grant Writer,https://www.indeed.com/rc/clk?jk=a39aa4b243e920f9&fccid=13e8d3bc471a8700&vjs=3,"The City of Charleston, SC","Charleston, SC 29401","$66,625 - $99,938 a year",8 days ago,"The City of Charleston offers an extensive benefits package for full-time employees, including: health, dental and vision insurance; employer-paid short and…"
title,url,company,location,salary,posted,snippets
Loan Servicing Manager-Onsite,https://www.indeed.com/rc/clk?jk=b8d7d61f21879e89&fccid=1cae4ecf9aba0acb&vjs=3,South State Bank,"North Charleston, SC 29406","",30+ days ago,Must be able to sit for long periods of time. / This position requires a large amount of time in front of a computer. / (Loan Operations background is preferred.).
Delivery Driver,https://www.indeed.com/rc/clk?jk=b1d590e00e218314&fccid=ed01b5fdd54d798c&vjs=3,US Foods,"Charleston, SC 29405 
(Silver Hill/Magnolia area)","$1,800 a week",9 days ago,Safely drive trucks to customers and meet scheduled customer delivery times. / The Clearinghouse is a secure online database that provides real-time information…
Assistant Project Manager,https://www.indeed.com/rc/clk?jk=40f7c680b215534a&fccid=f0c6a180fe643ec9&vjs=3,Crescent Homes,"Mount Pleasant, SC 29464","",30+ days ago,"Assist our team in consistently delivering high-quality, low-defect, on-time and on-budget homes. / This candidate will work closely with the project manager(s)…"
Account Manager,https://www.indeed.com/rc/clk?jk=3b4cbb206c70663e&fccid=06443599df073325&vjs=3,United Producers Group,"Mount Pleasant, SC 29464","",2 days ago,Works closely with brokers and clients to assist in providing a line of communication with the carriers to solve complex issues.
Quality Coordinator,https://www.indeed.com/rc/clk?jk=85916d45523f8960&fccid=cf08c5dbd828af0d&vjs=3,Pegasus Steel,"Charleston, SC",$20 - $50 an hour,30+ days ago,"SUMMARY Maintains quality standards by approving incoming materials, in-process production, and finished products; recording quality results."
Inspector II,https://www.indeed.com/rc/clk?jk=6c5b5cb0ea44bdf2&fccid=bafa4b35e9cd20ce&vjs=3,AECOM,"Hybrid remote in North Charleston, SC","",11 days ago,"Reviewing engineered plans, specifications, and shop drawings. / Effectively communicates with contractors and engineers. / Microsoft Office and Excel experience."
New Home Information Manager,https://www.indeed.com/rc/clk?jk=ec03e093692ecb9a&fccid=a1ea67e0245dea95&vjs=3,Beazer Homes,"Charleston, SC 29405","",30+ days ago,"Strong organizational and time management skills. / Company Overview: Beazer Homes is committed to employee wellbeing and life-work balance, offering development…"
Restoration Ecologist,https://www.indeed.com/rc/clk?jk=2215c82234da456a&fccid=359395c0bacb9c52&vjs=3,Biohabitats,"Mount Pleasant, SC 29464","$70,000 - $89,000 a year",9 days ago,The ideal candidate must have a solid background in coastal ecology in the southeast Atlantic and Gulf Coasts with demonstrated project experience in the…
Site Purchaser,https://www.indeed.com/rc/clk?jk=34b0dadc228a3397&fccid=d0df1807048d7e5b&vjs=3,Nexans,"Goose Creek, SC 29445","",30 days ago,To enable impact we believe in autonomy at the local level at the same time as we encourage knowledge sharing within our global engineering competence.
Benefits & Leave Administrator,https://www.indeed.com/rc/clk?jk=c354c1cb4b532d0a&fccid=13e8d3bc471a8700&vjs=3,"The City of Charleston, SC","Charleston, SC 29401","$60,570 - $63,597 a year",16 days ago,"The City of Charleston offers an extensive benefits package for full-time employees, including: health, dental and vision insurance; employer-paid short and…"
Buyer,https://www.indeed.com/rc/clk?jk=2d0fe80ef8ac89c8&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,"Qualifies vendors, evaluates bids, and negotiates prices and terms for purchased goods and services. / Tracks purchases, monitors vendor quality, and maintains a…"
Blue Water General Manager,https://www.indeed.com/rc/clk?jk=54f4011ce79c59a7&fccid=b7bbbdd56ed75920&vjs=3,Buck Management Corporation,"Charleston, SC","$60,000 - $75,000 a year",30+ days ago,"Implement monthly promotions, insure all POS advertising/signage is properly posted at the proper time. / Job Summary: The Store manager is responsible for day to…"
Manager-Business Operations,https://www.indeed.com/rc/clk?jk=92b75de501d85483&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",2 days ago,Manages one or more functional areas of a department. / Manages two or more professional and support staff including subordinate supervisors.
Warehousing Manager,https://www.indeed.com/rc/clk?jk=0e4ee3c3a1d9d2e1&fccid=d0a660fb87ec641d&vjs=3,Belimed,"Ladson, SC","",30+ days ago,"Oversee recruitment, coaching, training and performance management for the Warehousing Team (currently 6 full-time employees). / Proficiency in MS Office Suite."
"Superintendent (Summerville, SC)",https://www.indeed.com/rc/clk?jk=740319e941802b96&fccid=dc2413b9ba536e87&vjs=3,ICG,"North Charleston, SC","","Posted
Today","Vacation, paid holidays, personal and sick time. / Flexible and Affordable Healthcare Coverage Options. / Competitive Pay and Bonus Potential."
title,url,company,location,salary,posted,snippets
HR Manager,https://www.indeed.com/rc/clk?jk=928c45958066a972&fccid=cf08c5dbd828af0d&vjs=3,Pegasus Steel,"Charleston, SC","",22 days ago,"Support, train and back up time and attendance coordinator. / Participate in the planning of personnel safety and protection activities consistent with OSHA/IOSHA…"
Cabinetry & Millwork Shop Director,https://www.indeed.com/rc/clk?jk=c60e97932cc6f378&fccid=3de4dfd2deed081d&vjs=3,Meadors,"Charleston, SC 29405","$75,000 - $90,000 a year",30+ days ago,Determine long lead time items. / Ability to manage multiple priorities and projects at the same time. / Meadors is comprised of six workshops: Architecture &…
Budget Analyst,https://www.indeed.com/rc/clk?jk=b6a2152ab0cba2a3&fccid=13e8d3bc471a8700&vjs=3,"The City of Charleston, SC","Charleston, SC 29401 
(French Quarter area)","$55,058 - $60,570 a year",30+ days ago,"The City of Charleston offers an extensive benefits package for full-time employees, including: health, dental and vision insurance; employer-paid short and…"
Grill 225 Server,https://www.indeed.com/rc/clk?jk=546e9aa17ce8c9c4&fccid=4547fc9992506c64&vjs=3,Grill 225,"Charleston, SC",$150 - $800 a day,30+ days ago,COMPENSATION: One of the highest Earning opportunities in the City for individuals who have full-time availability as well as a flexible working schedule.
Director-Accounts Payable,https://www.indeed.com/rc/clk?jk=bc5e1821e0e811f7&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",15 days ago,The Accounts Payable Manager Analysis and Reporting is responsible for managing a team that performs a variety of accounting tasks involved in analyzing…
"Executive Team Leader (Assistant Store Manager)- South Carolina & Savannah, GA (Starting Summer 2024)",https://www.indeed.com/rc/clk?jk=2fad1d80f24b4e62&fccid=15f43d82dc901ff2&vjs=3,TARGET,"Charleston, SC 29407","$60,000 - $120,000 a year",30+ days ago,Pay is based on several factors which vary based on position. / Target offers eligible team members and their dependents comprehensive health benefits and…
Tunnel Car Wash Manager (9341),https://www.indeed.com/rc/clk?jk=2d593baee597565f&fccid=3902e10a2fe5441f&vjs=3,The Spinx Company,"Wando, SC 29492","$50,000 a year",2 days ago,Interview and select full-time (and part-time) employees for maximum flexibility. / Directs and coordinates staff in providing customer service activities.
Associate,https://www.indeed.com/rc/clk?jk=23770457a51c3664&fccid=91cf9da92779e925&vjs=3,Hall Booth Smith,"Mount Pleasant, SC 29464","From $115,000 a year",30+ days ago,We also off an Employee Assistance Program to aid with work-life balance and related concerns as well as flexible time off plans encompassing accrued Paid Time…
Zone Sales Leader,https://www.indeed.com/rc/clk?jk=17c8797df1f056ea&fccid=fa3aa61683e5e15e&vjs=3,Bimbo Bakeries USA,"Summerville, SC","From $95,000 a year",25 days ago,"Engage and inspire associates to pursue the BBU vision for growth. / Build an engaged frontline through conducting business reviews, roundtables, and implementing…"
Quality Clerk,https://www.indeed.com/rc/clk?jk=826ad2aaea160f78&fccid=cf08c5dbd828af0d&vjs=3,Pegasus Steel,"Charleston, SC","",30+ days ago,"SUMMARY Under supervision, the QMS Clerk performs electronic scanning and filing of Raw Material Certifications, Production Reports, and Machine Center Heat…"
Operations Process Improvement Specialist,https://www.indeed.com/rc/clk?jk=170f4a258307513c&fccid=1cae4ecf9aba0acb&vjs=3,South State Bank,"North Charleston, SC 29406","",30+ days ago,"Telecommuting roles, no matter if hybrid or 100% full time telecommuting, must have a secure home office environment that is free from background noise and…"
Office Manager,https://www.indeed.com/rc/clk?jk=83844b0e9bd960fb&fccid=18f98cb905fb01c2&vjs=3,Roper St. Francis Healthcare,"Charleston, SC","",21 days ago,Responsible for the day-to-day administrative functions associated with the physician practice of 4 or less providers.
Director of Operations,https://www.indeed.com/rc/clk?jk=22a0dca35d1308e4&fccid=994a035951156c77&vjs=3,Charlestowne Hotels,"Charleston, SC","",20 days ago,"Manages time efficiently to meet established project deadlines. / This person will serve as the primary contact of multiple hotels for operations, sales and…"
Forensic Quality Manager,https://www.indeed.com/rc/clk?jk=376607a56e045a5a&fccid=13e8d3bc471a8700&vjs=3,"The City of Charleston, SC","Charleston, SC 29403 
(Westside area)","$66,625 - $73,288 a year",24 days ago,"The City of Charleston offers an extensive benefits package for full-time employees, including: health, dental and vision insurance; employer-paid short and…"
Regional VP of Operations (South Carolina),https://www.indeed.com/rc/clk?jk=3895c032154d9880&fccid=e68977c1f9c75a6f&vjs=3,BSM Consulting,"Charleston, SC 29407","",7 days ago,At least 10 years of previous management experience within a multi-site healthcare organization; ophthalmology/optometry experience a plus.
title,url,company,location,salary,posted,snippets
Mental Health Professional I (Mobile Crisis) 151789,https://www.indeed.com/rc/clk?jk=65ccf962fa3874c0&fccid=a726d6d11c49c4c5&vjs=3,State of South Carolina,"Dorchester County, SC","",30+ days ago,Clinicians are taught to utilize a full array of assessment and diagnostic skills. / Our clinicians work in teams to assess these acute mental health concerns and…
"Full-Time LCSW in the Charleston, South Carolina, Area",https://www.indeed.com/rc/clk?jk=45a2d5cd7c60adfb&fccid=c7ae64ef81b1f042&vjs=3,Charleston Area Post-Acute Care Practice,"Charleston, SC","",1 day ago,"4 weeks of true paid time off; left over days are paid out at the end of the year, no ""use it or lose it"" here. / Unmatched flexibility in your weekly schedule."
Assistant Project Manager,https://www.indeed.com/rc/clk?jk=02df0460905053a7&fccid=2b58e96cb436915b&vjs=3,WxProofing LLC,"North Charleston, SC 29405","",30+ days ago,Generous paid time off and holidays. / You are passionate about exceeding customer expectations and delivering projects on time and under budget.
Store Manager,https://www.indeed.com/rc/clk?jk=d171f4c284cf1554&fccid=33f3caa4b49e8c48&vjs=3,Rowan,"Charleston, SC","$65,000 - $75,000 a year",4 days ago,"The Store Manager will take full ownership of the store's business at all levels. / Ensure the selling floor is neat, clean, organized, and reflects the brand…"
